词根词缀,含义,示例
arbor,n. [植] 乔木【词根】树 ,arboriculture(n. 树木的培植/栽培)
arc,/ a:k/  n.弧，弧形物。词根：弓箭,arcade（n.  拱廊; 长廊商场; 骑楼）
arch,/ a:tF/  n.拱【词根】首领；统治者【前缀】古代,anarchism（无政府主义的(an无+arch+ism主义)）
archa,词根：古代的，原始的；古,archaism(n. 古语；拟古主义；古体)
archae,词根：古,archaeology(n. 考古学)
arche,【前缀】主要的,archenemy（n.  主要敌人; 魔王; 大敌; 撒旦）
archeo,"词根：ancient古代的,原始的",archeological(adj.  考古学的)
archi,【前缀】原始，旧，原，第一，主要,"architect(n.  建筑师; 缔造者, 创造者; 设计师)"
archy,"adj.拱形的【词根】表示""统治者，统治，主要的""",anarchy（n. 无政府状态；混乱；无秩序(an无+archy)）
arct,"词根：北方,熊",arctic(adj. 北极的；极寒的)
ard,【后缀】表示“人”,coward(n.懦夫；胆怯者)
ardu,词根：difficult（困难）,arduous（adj. 努力的；费力的；险峻的）
aren,词根：sand（沙）,arena（ n. 舞台；竞技场（以沙铺地））
arg,n. （函数的）自变量【词根】闪光，白，银,argentine（adj.  银的; 似银的; 银色的）
argu,【词根】解释清楚,argument(n.  论据; 辩论; 争论; 缘由)
arian,【后缀】构成形容词或名词,librarian(n.  图书馆员; 图书管理员)
arious,后缀：构成形容词，表示“与…有关的”,hilarious(adj. 欢闹的；非常滑稽的；喜不自禁的)
arist,前缀：最优越  ,aristocracy（n. 贵族；贵族统治；上层社会；贵族政治）
aristo,词根：最佳,aristocracy（n. 贵族；贵族统治；上层社会）
arithm,词根：数字,arithmetic(n. 算术，算法)
arity,后缀：名词后缀，表示情况,similarity（n. 类似；相似点）
arium,后缀：表名词，“地点，场所”,"vivarium(n.  动物园, 植物园)"
arm,/ a:m/  手臂【词根】武器,"armament(n.  军备, 武器)"
arom,词根：apice（香料）,aroma（ n  芳香）
ars,"词根：glow,burn灼热,燃烧,热情",arson(n.  纵火; 纵火罪)
art,/ a:t/  美术【词根】技巧；艺术【后缀】表示“人”,artist(n.艺术家，美术家)
arter,词根：pipe（管道）,artery （n. 动脉；干道）
arteri,词根：动脉,arterial(adj. [解剖] 动脉的；干线的)
arterio,词根：动脉,arteriole(n. [解剖] 小动脉；细动脉)
arthr,词根：关节,arthral(adj.  关节的)
arthro,词根：关节,arthrodesis(n. [外科] 关节固定术)
articul,词根：关节,articulate(vi. 发音；清楚地讲话；用关节连接起来)
ary,n. 氩【后缀】表性质、大小状况、状貌,elementary(a.基本的；初级的)
as,"/ Az, Ez/  作为【前缀】表示”一再”等加强意",assault(进攻(as+saul跳=跳起来=进攻))
ash,/ AF/  n. 灰；灰烬。词根：燃烧，发光,flash(n.  闪光; 一瞬间; 闪现)
asin,词根：ass（驴子）,asinine(adj. 驴的；愚蠢的，固执的；驴子似的)
asm,【后缀】表示抽象名词,enthusiasm(n.热情，热心，热忱)
asper,词根：rough（粗糙）,asperity(n. （表面的）粗糙；（气候等的）严酷)
ass,n. 屁股；驴子；蠢人【后缀】表示抽象名词,embarrass(vt.使窘迫，使为难)
ast,后缀：表名词，“…人，物”,"ballast(n.  压载物, 压舱物)"
aster,/ 'AstE/ n. 紫苑属植物【词根】星星,"disaster(灾难,灾祸(dis坏+ester星=星位不正,表示有灾难))"
asthm,词根：panting（喘气）,asthma(n. [内科][中医] 哮喘，气喘)
astic,后缀：形容词后缀，表示“…的”,gymnastic（adj. 体操的，体育的）
astr,【词根】星星,disastrous(adj.  损失惨重的; 悲伤的)
astro,"【词根】表示""星星""",astronaut(n.宇宙航行员，宇航员)
at,"/ At, Et/  在…(指时间的某一点)【前缀】转为动词",attain(vt.达到，获得，完成)
ate,v.eat的过去式【后缀】表示“人”,delegate (n 代表(de+leg选+ate…选出来的人 …代表))
athl,词根：竞赛,athlete(n. 运动员，体育家)
atic,后缀：表形容词，“有…性质的”,emblematic(adj.  象征的; 标记的)
ation,"【后缀】构成抽象名词，表示“动作”,“过程”等",alteration（n. 修改，改变；变更）
ative,后缀：表形容词.“有…倾向（性质）的”,sedative(n.镇静剂)
atm,"词根：大气,蒸汽",atmology（n. 水蒸气学）
atmo,词根：气 ,atmospheric(adj. 大气的，大气层的)
ator,【后缀】构成抽象名词，表示“做…动作的人”等,improvisator（n. 即席演奏者；即兴诗人）
atory,"后缀:表形容词,'有…性质的';表名词,'场所,地点'",propitiatory(adj.  安抚的; 取悦的; 劝解的)
atp,"词根：适应,能力",inapt(adj. 不适当的；不熟练的，笨拙的（in无＋apt能力）)
atr,词根：黑色的,atrocity(n. 暴行；凶恶，残暴)
atroc,词根：cruel（残酷）,atrocious(adj. 凶恶的，残暴的)
att,词根：能力；倾向；适当的,attitude（n. 态度；看法；意见；姿势）
auc,词根：增加,auction(vt. 拍卖；竞卖)
auct,词根：增加,auction(vt. 拍卖；竞卖)
aud,词根：听,"audio(adj.  声音的, 听觉的; 音的; 音频的)"
audi,词根：听,"audience(n.  观众, 听众; 爱好者; 读者群; 谒见)"
audit ,vi. 审计；[审计] 查帐【词根】听,auditor(n. 审计员；听者；旁听生)
aug,词根：增长；使生长,augment(v.  扩大; 加强; 增加; 提高; 扩大; 增加)
aur,词根：耳,auricular(adj. 耳的；耳状的)
auri,词根：耳,auricula（n. [植] 耳状报春花；[解剖] 耳廓）
aus,词根：听,auscultate(v.  听诊)
auster,词根：severe（严重的）,austere(adj. 严峻的；简朴的；苦行的)
austr,词根：aouth（南方）,australadj. 南的，南国的；南方的)
aut,词根：自己,automobile(n.汽车，机动车（auto自己+mobile动→自己动的[车]→汽车）)
auth,【前缀】作者,author(n. 作者；作家；创始人)
auto,/ 5R:tEu/  n.汽车【词根】自己,automobile（n 汽车(auto自己+mobile动=自己动的[车]=汽车)）
aux,词根：增加、增多,auxiliary(adj. 辅助的；副的；附加的)
auxili,词根：help（帮助）,auxiliary(n. 助动词；辅助者，辅助物)
av,词根：表示“渴望，鸟”,avian(n. 鸟)
aval,n. 保兑；担保【词根】kownward（向下）,avalanche(v 雪崩（aval+lanche滑—向下滑）)
avar,词根：表示“渴望，鸟”,"avarice(n.  贪财, 贪婪)"
avi,词根：表示“渴望，鸟”,aviary(n. 鸟类饲养场；大型鸟舍（avi+ary表示地方→鸟的地方→鸟舍）)
aw,int. 哦！噢！（表示抗议， 厌恶等）【词根】害怕,awful(adj. 可怕的；极坏的；使人敬畏的)
ax,n. 斧头【词根】轴 ,axial(adj. 轴的；轴向的)
axi,词根：worthy（有价值）,axiom(n. [数] 公理；格言；自明之理)
axim,词根：格言，准则,axiom(n. [数] 公理；格言；自明之理)
bac,n.用绳子拖的平底渡船【词根】后面,back(n. 后面；背部；靠背)
bacteri,词根：细菌,bacterial(adj. [微] 细菌的)
badin,词根：jest（说笑）,badinage(n. 开玩笑；嘲弄，揶揄)
bak,词根：热,"bake（v.  烘, 烤; 烧硬; 烘干）"
bal,"词根：胀满，包裹,球",bald (秃的，露出的)
balc,词根：门板，粱,balconied(有阳台的)
ball,"n. 球；舞会【词根】表示""抛，舞，球""",ballet(n. 芭蕾舞剧；芭蕾舞乐曲)
ban,vt. 禁止，取缔【词根】限制,banish(vt. 放逐；驱逐)
band,"/ bAnd/n.带子, 镶边, 波段, 队, 乐队【词根】捆绑",bandage（n.  绷带）
bapt,词根：浸，泡,baptism(n. 洗礼；严峻考验)
bar,/ ba:/n.条；棒【词根】重，压，棒子；障碍,barometer（n 气压针(baro+meter计量器)）
barb,/ bB:d/ n. 倒钩vt. 装倒钩于【词根】胡须,barbar（n. （男）理发员）
barbar,n. （男）理发员【词根】野蛮的,barbarous(adj. 野蛮的；残暴的)
bard,"/ bB:d/ n. 吟游诗人, 诗人【词根】beard（胡子）",barber(n 理发师（兼修理胡子）)
barg,词根：船；乞讨;恳求,barge（n. 驳船；游艇）bargain(n. 交易；便宜货；契约)
baro,词根：重，压,barometer(n. [气象] 气压计；睛雨表；显示变化的事物)
barr,【词根】棒子；障碍,embarrass(vt.使窘迫，使为难)
bary,词根：重，压,baryta（n. 氧化钡；重土）
bas,"【词根】去,底","basis（n.  基础, 主要成分）"
bat,"/ bAt/n.蝙蝠, 球棒【词根】打；去","combat（n.  争斗, 战斗）"
bath,"/ ba:W/n. 沐浴；浴室；浴盆【词根】deep深,深海的",bathysphere(n.  深海球形潜水器)
bathy,词根：深,bathymeter（n. 测深计，水深测量器）
be,v. 是; 值【词根】居住【前缀】变换为及物动词,tribe(n.部落，宗族)
beac,词根：火，烤,beacon(n.灯塔，烽火:.照亮，照耀)
beat,/ bi:t/vt. 打；打败【词根】blessed（有福的）,beatific(adj. 幸福的；祝福的；快乐的)
bed,/ bed/  床。词根：范围,"embed安置,嵌于(em+bed范围,床=进入范围=安置)"
bel,n. 贝尔（音量比率之单位）【词根】战争；美丽的,rebel(vi.造反)
bell,/ bel/n. 铃，钟；钟声，铃声【词根】战争；美丽的,rebellion(n.造反；叛乱；反抗)
belli,"词根：战斗,战争",bellicose(adj. 好战的；好斗的
ben,n.内室，起居室【词根】好，做，偏爱，尊敬,"benefit（n.  利益, 好处; 津贴, 救济金; 优势）"
bene,n. 祈祷；祝福【前缀】很好；与mal(e)相反,benefit(n.利益；恩惠；津贴)
berg,/ bE:g/ n. 冰山【后缀】山；村庄,iceberg(n. [地理] 冰山；显露部分)
bev,abbr. 十亿电子伏特【词根】喝,bevvy（n. 饮料（尤指含酒精饮料））
bever,词根：drink（喝）,beverage( n 饮料)
bey,词根：expect（期待）,abeyance( n 暂停，中止（a在+bey+ance—在期待中—观望，暂停）)
bi,【前缀】生命，二,biography传记(bio+graphy写=写生命=传记)
bib,vi. 饮酒，不断地饮酒【词根】喝,imbibe(vt. 吸收，接受；喝；吸入)
bibl,【前缀】书,bible(n.基督教《圣经》)
bibli,词根：book,bibliophile(n. 藏书家；爱书的人（biblio+phile爱→爱书的人）)
biblio,【词根】书,bibliophile（n 藏书家(biblio+phile爱=爱书的人)）  
bid,/ bid/v.说（问候的话等）。词根：信任；命令,"forbid（v.  禁止, 妨碍, 不准）"
bil,词根：强壮的strong,debilitate（vt. 使衰弱；使虚弱）
bili,词根：表示“能力”,ability(n.  能力; 才能; 专门技能)
bin,/ bin/n. 箱子，容器；二进制【前缀】双；二,"binary（n.  一双, 一对; 二进制数; 双体; 双子星）"
bine,n. 蔓；蔓生植物【词根】捆,combine(vi. 联合，结合；化合((com+bine捆→捆在一起→结合))
bio,n. 个人简历，小传【词根】生命,biology(n.生物学；生态学)
bir,词根：携带，带，拿,"birth（n.  出生, 诞生; 血统, 出身）"
bit,/ bit/n.一点儿。词根：撕，咬。,bite（n. 咬；被咬（或叮）的伤痕）
bl,准词根：吹风；颜色,blue(n.  蓝色)
bla,词根：光，亮，燃烧,blaze(n.  火焰; 熊熊燃烧; 火灾; 强烈的光)
blan,词根：空白的,blanch（adj. 漂白的；银白色的）
blanc,n. 白【词根】白色,"blanch(v.  漂白, 使变白, 变白; 变白)"
blas,词根：bamage（毁坏）,blasphemy(n. 亵渎神明（blas+phemy神的显示）)
blast,/ bla:st/ n. 爆炸；冲击波【词根】胚,epiblast(n. 外胚层；上胚层)
blasto,词根：胚，芽,blastocyst（n. 囊胚；胚包）
blaz,词根：火焰,blazer(n. 燃烧体；宣布者；颜色鲜明的运动上衣)
ble,词根：光，亮，燃烧,bless(v.  祝福)
blea,词根：空白的,bleak（adj. 阴冷的；荒凉的，无遮蔽的）
blem,【词根】问题；投掷，扔掷,problem(n.问题；习题，问题)
bli,词根：光，亮，燃烧,"blind(n.  盲人, 窗帘, 障蔽物)"
blo,词根：光，亮，燃烧,"blond(adj.  亚麻色的, 金黄色的)"
blu,词根：光，亮，燃烧,"blush(v.  脸红, 羞愧)"
bod,词根：告知，使明白;预兆,bodement（n. 预兆）
boist,词根：爆发，突然迸发，热闹,boisterous（adj. 喧闹的；狂暴的；猛烈的）
bol,"词根：抛,舞,球，投","symbol(n.  符号, 象征, 记号)"
bon,【前缀】很好,bonus(n.  奖金; 红利)
bond,/ bRnd/n.联结，联系；公债，债券【词根】捆绑,bondage(n.  奴役; 束缚)
bor,词根：藏，保护;割，刺，钻,bore(v.  钻; 凿; 挖; 在...上钻孔; 钻孔)
bord,词根：side（边）,transborde(adj. 交界的)
borough,"/ 'bE:rEu/ n. 自治的市镇, 区【词根】气管",bronchitis(n. [内科] 支气管炎)
bosc,词根：feed（喂）,proboscis( n. 鼻子；[昆] 喙；象鼻（pro前面+boscis，象用鼻子喂食）)
bot,词根：植物；短棍,botany(n. 植物学；地区植物总称)
botan,词根：erb（草）,botany(  n 植物学)
bouch,词根：mouth（嘴）,debouch(vt. 使出来；使流注)
bound,vi. 限制；弹起【词根】限制,boundless(adj. 无限的；无边无际的)
bov,词根：ox（牛）,bovid(adj. 牛科的)
bow,/ bau/v.鞠躬；点头；弯腰。词根：弯，逃跑,elbow(vt.用肘挤，挤进)
br,"准词根：破碎，分裂,产生","branch(n.  树枝, 支流, 支店)"
brac,词根：短，手臂,embrace(vt.包括，包含；包围)
brace,n. 支柱【词根】两臂,embrace(拥抱(em+brace胳膊=进入怀抱))
brach,/ brAtF/ n. 雌猎犬【词根】arm臂,brachial(adj. 臂的，臂状的)
brachy,词根：short短,brachylogy(简明)
brack,词根：vomit（呕）,brackish(adj. 含盐的；令人不快的；难吃的)
brad,n. [建] 曲头钉【词根】摩擦;广阔的,abrade(vt. 擦伤；磨损)
brady,词根：slow缓慢,bradykinesia(n. 运动徐缓，动作迟缓)
bran,"/ brAn/ n. 糠, 麸【词根】燃烧；烙印",brand(n. 商标，牌子；烙印)
braz,词根：铜,brazen（adj. 厚颜无耻的；黄铜制的）
bre,词根：短的,brevity(n. 简洁，简短；短暂，短促)
brev,【词根】短的,"abbreviate(v.  缩写, 缩短, 使...简略)"
brevi,【词根】短的,abbreviation(n.节略，缩写，缩短)
bri,词根：短,brief(adj. 简短的，简洁的；短暂的，草率的)
bridg,词根：表示“短，缩短”,abridgement(n.  删节; 删节本; 缩短)
brief,adj. 简短的，简洁的【词根】短,briefness(n. 简单；短促)
brig,n. 双桅横帆船【词根】战斗，打,brigand(n. 强盗；土匪；盗贼)
bris,词根：破裂，折，断,debris(n. 碎片，残骸)
broch,词根：pierce（刺，缝）,brochure ( n 手册（用线缝在一起的纸）)
bron,词根：铜,bronze（n. 青铜；古铜色；青铜制品）
bronch,前缀：支气管,bronchitis（n. [内科] 支气管炎)
brut,词根：兽,brutality（n. 无情；残忍；暴行（需用复数形式））
bry,词根：sprout（发芽）,embryo( n 胚胎，萌芽)
bryo,词根：膨胀的,embryo(adj. 胚胎的；初期的)
bu,词根：表示“牛”;存在，生长，居住,"bull(n.  公牛; 彪形大汉, 壮汉)"
buf,词根：牛,"butter(n.  奶油, 黄油)"
bul,词根：胀满，包裹，球,flashbulb（n. 闪光灯泡（等于flash bulb））
bulg,词根：袋；膨大,bulge(n. 胀；膨胀；凸出部分)
bull,"/ bul/ n. 公牛【词根】煮沸boil,seal",ebullient(adj. 热情洋溢的；沸腾的)
bund,n. 堤岸；码头；同盟【词根】绑，捆,bundle(n. 束；捆)
bur,n. 刺果【词根】火；藏，保护,burn(v.  烧毁; 烧坏; 烧伤; 烧焦)
burl,"/ bE:l/ n. 节, 树节, 树瘤【词根】mockery（嘲笑）",burlesque(n. 作戏；滑稽戏)
